barrio;comuna
CONSTITUCION;1
MONSERRAT;1
PUERTO MADERO;1
RETIRO;1
SAN NICOLAS;1
SAN TELMO;1
RECOLETA;2
BALVANERA;3
SAN CRISTOBAL;3
BARRACAS;4
BOCA;4
NUEVA POMPEYA;4
PARQUE PATRICIOS;4
ALMAGRO;5
BOEDO;5
CABALLITO;6
FLORES;7
PARQUE CHACABUCO;7
VILLA LUGANO;8
VILLA RIACHUELO;8
VILLA SOLDATI;8
LINIERS;9
MATADEROS;9
PARQUE AVELLANEDA;9
FLORESTA;10
MONTE CASTRO;10
VELEZ SARSFIELD;10
VERSALLES;10
VILLA LURO;10
VILLA REAL;10
VILLA DEL PARQUE;11
VILLA DEVOTO;11
VILLA GRAL. MITRE;11
VILLA SANTA RITA;11
COGHLAN;12
SAAVEDRA;12
VILLA PUEYRREDON;12
VILLA URQUIZA;12
BELGRANO;13
COLEGIALES;13
NUÑEZ;13
PALERMO;14
AGRONOMIA;15
CHACARITA;15
PARQUE CHAS;15
PATERNAL;15
VILLA CRESPO;15
VILLA ORTUZAR;15
